energy_trace,power_distribution,workflow,c_value,deadline_factor,shift_mode,task_ordering,AVERAGE_of_brown_energy_used,STD_of_brown_energy_used,AVERAGE_of_green_energy_used,STD_of_green_energy_used,AVERAGE_of_makespan,STD_of_makespan,AVERAGE_of_workflow_stretch,STD_of_workflow_stretch
trace-1,uniform,blast,0.500000,8,right-left,energy,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.500000,8,right-left,power,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.500000,8,right-left,runtime,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.500000,8,right-left,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.800000,2,left,energy,0.000000,0.000000,1851840.763502,735710.077205,4702.200000,380.161019,4701.200000,380.161019
trace-1,uniform,blast,0.800000,2,left,power,0.000000,0.000000,1851840.763502,735710.077205,4628.700000,138.709969,4627.700000,138.709969
trace-1,uniform,blast,0.800000,2,left,runtime,0.000000,0.000000,1851840.763502,735710.077205,4702.200000,380.161019,4701.200000,380.161019
trace-1,uniform,blast,0.800000,2,left,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,4790.100000,297.225485,4789.100000,297.225485
trace-1,uniform,blast,0.800000,2,none,energy,0.000000,0.000000,1851840.763502,735710.077205,5417.100000,15.285796,5416.100000,15.285796
trace-1,uniform,blast,0.800000,2,none,power,0.000000,0.000000,1851840.763502,735710.077205,6365.900000,1001.491493,6129.700000,995.789698
trace-1,uniform,blast,0.800000,2,none,runtime,0.000000,0.000000,1851840.763502,735710.077205,5417.100000,15.285796,5416.100000,15.285796
trace-1,uniform,blast,0.800000,2,none,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,7245.200000,8.377218,7244.200000,8.377218
trace-1,uniform,blast,0.800000,2,right-left,energy,0.000000,0.000000,1851840.763502,735710.077205,4905.400000,354.461156,4904.400000,354.461156
trace-1,uniform,blast,0.800000,2,right-left,power,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.800000,2,right-left,runtime,0.000000,0.000000,1851840.763502,735710.077205,4905.400000,354.461156,4904.400000,354.461156
trace-1,uniform,blast,0.800000,2,right-left,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.800000,4,left,energy,0.000000,0.000000,1851840.763502,735710.077205,5151.800000,1992.305577,5150.800000,1992.305577
trace-1,uniform,blast,0.800000,4,left,power,0.000000,0.000000,1851840.763502,735710.077205,4548.200000,82.861062,4547.200000,82.861062
trace-1,uniform,blast,0.800000,4,left,runtime,0.000000,0.000000,1851840.763502,735710.077205,5151.800000,1992.305577,5150.800000,1992.305577
trace-1,uniform,blast,0.800000,4,left,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,4790.100000,297.225485,4789.100000,297.225485
trace-1,uniform,blast,0.800000,4,none,energy,0.000000,0.000000,1851840.763502,735710.077205,10840.700000,19.607538,10839.700000,19.607538
trace-1,uniform,blast,0.800000,4,none,power,0.000000,0.000000,1851840.763502,735710.077205,11507.300000,1835.191122,10496.800000,2129.321791
trace-1,uniform,blast,0.800000,4,none,runtime,0.000000,0.000000,1851840.763502,735710.077205,10840.700000,19.607538,10839.700000,19.607538
trace-1,uniform,blast,0.800000,4,none,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,12671.700000,9.615381,12670.700000,9.615381
trace-1,uniform,blast,0.800000,4,right-left,energy,0.000000,0.000000,1851840.763502,735710.077205,5355.000000,1935.815705,5354.000000,1935.815705
trace-1,uniform,blast,0.800000,4,right-left,power,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.800000,4,right-left,runtime,0.000000,0.000000,1851840.763502,735710.077205,5355.000000,1935.815705,5354.000000,1935.815705
trace-1,uniform,blast,0.800000,4,right-left,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.800000,8,left,energy,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.800000,8,left,power,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.800000,8,left,runtime,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.800000,8,left,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,4790.100000,297.225485,4789.100000,297.225485
trace-1,uniform,blast,0.800000,8,none,energy,0.000000,0.000000,1851840.763502,735710.077205,18983.500000,5.582711,16089.400000,4.526465
trace-1,uniform,blast,0.800000,8,none,power,0.000000,0.000000,1851840.763502,735710.077205,20689.400000,4333.973240,17320.900000,5133.366785
trace-1,uniform,blast,0.800000,8,none,runtime,0.000000,0.000000,1851840.763502,735710.077205,18983.500000,5.582711,17824.800000,1492.009890
trace-1,uniform,blast,0.800000,8,none,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,23524.100000,11.357328,23523.100000,11.357328
trace-1,uniform,blast,0.800000,8,right-left,energy,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.800000,8,right-left,power,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.800000,8,right-left,runtime,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,blast,0.800000,8,right-left,runtime_ascending,0.000000,0.000000,1851840.763502,735710.077205,4725.100000,250.074855,4724.100000,250.074855
trace-1,uniform,bwa,0.000000,2,left,energy,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,2,left,power,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,2,left,runtime,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,2,left,runtime_ascending,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,2,none,energy,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,2,none,power,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,2,none,runtime,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,2,none,runtime_ascending,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,2,right-left,energy,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,2,right-left,power,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,2,right-left,runtime,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,2,right-left,runtime_ascending,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,4,left,energy,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,4,left,power,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,4,left,runtime,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,4,left,runtime_ascending,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,4,none,energy,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,4,none,power,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,4,none,runtime,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,4,none,runtime_ascending,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,4,right-left,energy,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,4,right-left,power,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,4,right-left,runtime,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,4,right-left,runtime_ascending,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,8,left,energy,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,8,left,power,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,8,left,runtime,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,8,left,runtime_ascending,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,8,none,energy,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,8,none,power,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
trace-1,uniform,bwa,0.000000,8,none,runtime,0.000000,0.000000,112764.374313,26661.603569,8950.300000,454.828918,8949.300000,454.828918
