experiment,workflow,energy_trace,shift_mode,c_value,deadline_factor,deadline,task_ordering,scheduling_hash,power_distribution,min_makespan,makespan,workflow_stretch,brown_energy_used,green_energy_used,total_energy,green_energy_not_used,max_active_tasks,active_tasks_mean,active_tasks_std,number_of_tasks,scheduling_violations
J9_E112,soykb,trace-1,left,0.8,4,90792,runtime_ascending,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E113,soykb,trace-1,left,0,8,181584,energy,-5911158560968955332,uniform,22698,21378,21378,6.185689294113672e-07,2820948.0391532,2820948.0391538185,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E114,soykb,trace-1,left,0,8,181584,power,-5911158560968955332,uniform,22698,21378,21378,3.8822518533265793e-07,2820948.039151629,2820948.0391520173,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E115,soykb,trace-1,left,0,8,181584,runtime,-5911158560968955332,uniform,22698,21378,21378,4.957189325693889e-07,2820948.039153321,2820948.039153817,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E116,soykb,trace-1,left,0,8,181584,runtime_ascending,-5911158560968955332,uniform,22698,21378,21378,6.339251790166145e-07,2820948.0391531847,2820948.0391538185,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E117,soykb,trace-1,left,0.2,8,181584,energy,1963634123838442454,uniform,22698,85930,85930,3.152829997077333e-07,2820948.0391516844,2820948.0391519996,6513791051.96085,209,92.83167495854063,52.42944937570381,993,0
J9_E118,soykb,trace-1,left,0.2,8,181584,power,4027314124189763281,uniform,22698,103500,103500,0,2820948.0391519954,2820948.0391519954,6513791051.96085,171,60.368940016433854,41.0948172108032,993,0
J9_E119,soykb,trace-1,left,0.2,8,181584,runtime,-4840813298768663076,uniform,22698,85930,85930,1.0177139131428703e-07,2820948.0391518935,2820948.0391519954,6513791051.96085,240,95.46058091286307,67.63047791381952,993,0
J9_E120,soykb,trace-1,left,0.2,8,181584,runtime_ascending,6453985494397331726,uniform,22698,41576,41576,0,2820948.0391519866,2820948.0391519866,6513791051.960848,349,149.04574565416286,105.96751053994876,993,0
J9_E121,soykb,trace-1,left,0.5,8,181584,energy,-1932345307761980079,uniform,22698,172330,172330,0,2820948.039151994,2820948.039151994,6513791051.960849,173,45.59300341296928,44.84980973760715,993,0
