energy_trace,power_distribution,workflow,c_value,deadline_factor,shift_mode,task_ordering,AVERAGE_of_brown_energy_used,AVERAGE_of_green_energy_used,AVERAGE_of_makespan,AVERAGE_of_workflow_stretch
trace-1,gaussian,bwa,0.5,2,left,power,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.5,2,left,runtime,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.5,2,left,runtime_ascending,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.5,2,none,energy,0.0000000323,2186911.84686843,31227.4,31227.4
trace-1,gaussian,bwa,0.5,2,none,power,0.0000000322,2186911.84686843,29735.8,29735.8
trace-1,gaussian,bwa,0.5,2,none,runtime,0.0000000323,2186911.84686843,32179,32179
trace-1,gaussian,bwa,0.5,2,none,runtime_ascending,0.0000000323,2186911.84686843,29467,29467
trace-1,gaussian,bwa,0.5,2,right-left,energy,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.5,2,right-left,power,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.5,2,right-left,runtime,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.5,2,right-left,runtime_ascending,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.5,4,left,energy,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.5,4,left,power,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.5,4,left,runtime,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.5,4,left,runtime_ascending,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.5,4,none,energy,0.0000000323,2186911.84686843,81928,81928
trace-1,gaussian,bwa,0.5,4,none,power,0.0000000322,2186911.84686843,71435.6,71435.6
trace-1,gaussian,bwa,0.5,4,none,runtime,0.0000000323,2186911.84686843,88513,88513
trace-1,gaussian,bwa,0.5,4,none,runtime_ascending,0.0000000323,2186911.84686843,85801,85801
trace-1,gaussian,bwa,0.5,4,right-left,energy,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.5,4,right-left,power,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.5,4,right-left,runtime,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.5,4,right-left,runtime_ascending,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.5,8,left,energy,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.5,8,left,power,0.000000032,2186911.84686843,29638.1,29638.1
trace-1,gaussian,bwa,0.5,8,left,runtime,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.5,8,left,runtime_ascending,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.5,8,none,energy,0.0000000323,2186911.84686843,81928,81928
trace-1,gaussian,bwa,0.5,8,none,power,0.000000032,2186911.84686843,81951.3,81951.3
trace-1,gaussian,bwa,0.5,8,none,runtime,0.0000000323,2186911.84686843,88513,88513
trace-1,gaussian,bwa,0.5,8,none,runtime_ascending,0.0000000323,2186911.84686843,85801,85801
trace-1,gaussian,bwa,0.5,8,right-left,energy,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.5,8,right-left,power,0.000000032,2186911.84686843,29638.1,29638.1
trace-1,gaussian,bwa,0.5,8,right-left,runtime,0.0000000322,2186911.84686843,22663,22663
trace-1,gaussian,bwa,0.5,8,right-left,runtime_ascending,0.0000000322,2186911.84686843,22663,22663
