energy_trace,power_distribution,workflow,c_value,deadline_factor,shift_mode,task_ordering,AVERAGE_of_brown_energy_used,STD_of_brown_energy_used,AVERAGE_of_green_energy_used,STD_of_green_energy_used,AVERAGE_of_makespan,STD_of_makespan,AVERAGE_of_workflow_stretch,STD_of_workflow_stretch
trace-1,uniform,blast,0.800000,2,right-left,runtime,0.000000,0.000000,47492026.349849,18527440.345753,25764.300000,872.370595,25763.300000,872.370595
trace-1,uniform,blast,0.800000,2,right-left,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,26421.100000,3499.164899,26420.100000,3499.164899
trace-1,uniform,blast,0.800000,4,left,energy,0.000000,0.000000,47492026.349849,18527440.345753,22661.900000,11.406139,22660.900000,11.406139
trace-1,uniform,blast,0.800000,4,left,power,0.000000,0.000000,47492026.349849,18527440.345753,31024.400000,19277.693115,29662.600000,14975.139793
trace-1,uniform,blast,0.800000,4,left,runtime,0.000000,0.000000,47492026.349849,18527440.345753,22661.900000,11.406139,22660.900000,11.406139
trace-1,uniform,blast,0.800000,4,left,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,37516.700000,25504.411632,37515.700000,25504.411632
trace-1,uniform,blast,0.800000,4,none,energy,9844982.707368,4475591.882565,37647043.642481,14069608.073653,85894.700000,22.276295,85893.700000,22.276295
trace-1,uniform,blast,0.800000,4,none,power,10554157.266123,7670423.629977,36937869.083726,15264564.192682,80933.400000,15703.669007,74887.800000,19078.222791
trace-1,uniform,blast,0.800000,4,none,runtime,9844982.707368,4475591.882565,37647043.642481,14069608.073653,85894.700000,22.276295,85893.700000,22.276295
trace-1,uniform,blast,0.800000,4,none,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,85894.700000,22.276295,85893.700000,22.276295
trace-1,uniform,blast,0.800000,4,right-left,energy,0.000000,0.000000,47492026.349849,18527440.345753,25384.300000,525.821062,25383.300000,525.821062
trace-1,uniform,blast,0.800000,4,right-left,power,0.000000,0.000000,47492026.349849,18527440.345753,31504.400000,19112.333500,30142.600000,14810.745147
trace-1,uniform,blast,0.800000,4,right-left,runtime,0.000000,0.000000,47492026.349849,18527440.345753,25384.300000,525.821062,25383.300000,525.821062
trace-1,uniform,blast,0.800000,4,right-left,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,43505.400000,29253.914094,43504.400000,29253.914094
trace-1,uniform,blast,0.800000,8,left,energy,0.000000,0.000000,47492026.349849,18527440.345753,83505.100000,40147.922975,71492.100000,31859.113011
trace-1,uniform,blast,0.800000,8,left,power,0.000000,0.000000,47492026.349849,18527440.345753,67310.200000,56274.129524,57531.900000,43738.626609
trace-1,uniform,blast,0.800000,8,left,runtime,0.000000,0.000000,47492026.349849,18527440.345753,83505.100000,40147.922975,71492.100000,31859.113011
trace-1,uniform,blast,0.800000,8,left,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,43921.500000,39005.470136,43920.500000,39005.470136
trace-1,uniform,blast,0.800000,8,none,energy,0.000000,0.000000,47492026.349849,18527440.345753,108445.700000,17.448655,91284.700000,17.448655
trace-1,uniform,blast,0.800000,8,none,power,555870.926828,744914.190813,46936155.423021,17900463.060909,119056.000000,19194.135441,98791.700000,16061.851575
trace-1,uniform,blast,0.800000,8,none,runtime,0.000000,0.000000,47492026.349849,18527440.345753,108445.700000,17.448655,91284.700000,17.448655
trace-1,uniform,blast,0.800000,8,none,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,117898.800000,68.216648,117897.800000,68.216648
trace-1,uniform,blast,0.800000,8,right-left,energy,0.000000,0.000000,47492026.349849,18527440.345753,83505.100000,40147.922975,71492.100000,31859.113011
trace-1,uniform,blast,0.800000,8,right-left,power,0.000000,0.000000,47492026.349849,18527440.345753,67310.200000,56274.129524,57531.900000,43738.626609
trace-1,uniform,blast,0.800000,8,right-left,runtime,0.000000,0.000000,47492026.349849,18527440.345753,83505.100000,40147.922975,71492.100000,31859.113011
trace-1,uniform,blast,0.800000,8,right-left,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,53102.200000,44705.283550,53101.200000,44705.283550
trace-1,uniform,bwa,0.000000,2,left,energy,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,2,left,power,0.000000,0.000000,2359965.147216,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,2,left,runtime,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,2,left,runtime_ascending,0.000000,0.000000,2359965.147216,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,2,none,energy,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,2,none,power,0.000000,0.000000,2359965.147216,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,2,none,runtime,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,2,none,runtime_ascending,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,2,right-left,energy,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,2,right-left,power,0.000000,0.000000,2359965.147216,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,2,right-left,runtime,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,2,right-left,runtime_ascending,0.000000,0.000000,2359965.147216,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,4,left,energy,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,4,left,power,0.000000,0.000000,2359965.147216,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,4,left,runtime,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,4,left,runtime_ascending,0.000000,0.000000,2359965.147216,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,4,none,energy,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,4,none,power,0.000000,0.000000,2359965.147216,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,4,none,runtime,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,4,none,runtime_ascending,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,4,right-left,energy,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,4,right-left,power,0.000000,0.000000,2359965.147216,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,4,right-left,runtime,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,4,right-left,runtime_ascending,0.000000,0.000000,2359965.147216,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,8,left,energy,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,8,left,power,0.000000,0.000000,2359965.147216,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,8,left,runtime,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,8,left,runtime_ascending,0.000000,0.000000,2359965.147216,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,8,none,energy,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,8,none,power,0.000000,0.000000,2359965.147216,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,8,none,runtime,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,8,none,runtime_ascending,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,8,right-left,energy,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,8,right-left,power,0.000000,0.000000,2359965.147216,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,8,right-left,runtime,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.000000,8,right-left,runtime_ascending,0.000000,0.000000,2359965.147216,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.500000,2,left,energy,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.500000,2,left,power,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.500000,2,left,runtime,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.500000,2,left,runtime_ascending,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.500000,2,none,energy,24803.446453,19563.257994,2335161.700763,727905.077906,59335.000000,3461.568880,55424.700000,3997.937942
trace-1,uniform,bwa,0.500000,2,none,power,143397.620409,390400.560715,2216567.526807,802107.896110,50127.100000,6154.531798,47285.600000,6957.493422
trace-1,uniform,bwa,0.500000,2,none,runtime,24092.973090,19514.912837,2335872.174126,727654.917543,58974.400000,3590.952155,55085.400000,3927.397929
trace-1,uniform,bwa,0.500000,2,none,runtime_ascending,235.202181,561.098857,2359729.945036,723677.921255,46519.800000,3691.976550,46518.800000,3691.976550
trace-1,uniform,bwa,0.500000,2,right-left,energy,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.500000,2,right-left,power,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.500000,2,right-left,runtime,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.500000,2,right-left,runtime_ascending,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.500000,4,left,energy,0.000000,0.000000,2359965.147217,723555.315396,43330.700000,21053.889860,42780.800000,19323.769823
trace-1,uniform,bwa,0.500000,4,left,power,0.000000,0.000000,2359965.147216,723555.315396,48524.100000,24495.279048,46378.100000,19992.558340
trace-1,uniform,bwa,0.500000,4,left,runtime,0.000000,0.000000,2359965.147217,723555.315396,43330.700000,21053.889860,42780.800000,19323.769823
trace-1,uniform,bwa,0.500000,4,left,runtime_ascending,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.500000,4,none,energy,618047.890110,845156.430666,1741917.257106,1078347.005853,99107.800000,9433.052432,93230.000000,11490.895449
trace-1,uniform,bwa,0.500000,4,none,power,297397.894628,932521.505253,2062567.252589,968944.942441,98758.400000,9056.192347,90803.300000,10834.116003
trace-1,uniform,bwa,0.500000,4,none,runtime,618047.890110,845156.430666,1741917.257106,1078347.005853,99107.800000,9433.052432,93280.100000,11546.131689
trace-1,uniform,bwa,0.500000,4,none,runtime_ascending,1358261.269876,1485445.589371,1001703.877340,916182.032231,97091.200000,10233.241746,97090.200000,10233.241746
trace-1,uniform,bwa,0.500000,4,right-left,energy,0.000000,0.000000,2359965.147217,723555.315396,43330.700000,21053.889860,42780.800000,19323.769823
trace-1,uniform,bwa,0.500000,4,right-left,power,0.000000,0.000000,2359965.147216,723555.315396,48524.100000,24495.279048,46378.100000,19992.558340
trace-1,uniform,bwa,0.500000,4,right-left,runtime,0.000000,0.000000,2359965.147217,723555.315396,43330.700000,21053.889860,42780.800000,19323.769823
trace-1,uniform,bwa,0.500000,4,right-left,runtime_ascending,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.500000,8,left,energy,0.000000,0.000000,2359965.147217,723555.315396,129918.100000,80967.602203,121227.100000,73533.668684
trace-1,uniform,bwa,0.500000,8,left,power,0.000000,0.000000,2359965.147217,723555.315396,72766.600000,50240.282309,67781.200000,44580.177460
trace-1,uniform,bwa,0.500000,8,left,runtime,0.000000,0.000000,2359965.147217,723555.315396,129918.100000,80967.602203,121227.100000,73533.668684
trace-1,uniform,bwa,0.500000,8,left,runtime_ascending,0.000000,0.000000,2359965.147216,723555.315396,108677.600000,64803.155519,108676.600000,64803.155519
trace-1,uniform,bwa,0.500000,8,none,energy,0.000000,0.000000,2359965.147217,723555.315396,193910.300000,7635.236809,182475.900000,10539.211086
trace-1,uniform,bwa,0.500000,8,none,power,1873.216472,4658.700757,2358091.930745,726457.056670,140677.300000,51760.205924,130185.300000,49572.242323
trace-1,uniform,bwa,0.500000,8,none,runtime,0.000000,0.000000,2359965.147217,723555.315396,193910.300000,7635.236809,182609.300000,10634.072598
trace-1,uniform,bwa,0.500000,8,none,runtime_ascending,0.000000,0.000000,2359965.147216,723555.315396,145723.900000,28293.715468,145722.900000,28293.715468
trace-1,uniform,bwa,0.500000,8,right-left,energy,0.000000,0.000000,2359965.147217,723555.315396,129918.100000,80967.602203,121227.100000,73533.668684
trace-1,uniform,bwa,0.500000,8,right-left,power,0.000000,0.000000,2359965.147217,723555.315396,72766.600000,50240.282309,67781.200000,44580.177460
trace-1,uniform,bwa,0.500000,8,right-left,runtime,0.000000,0.000000,2359965.147217,723555.315396,129918.100000,80967.602203,121227.100000,73533.668684
trace-1,uniform,bwa,0.500000,8,right-left,runtime_ascending,0.000000,0.000000,2359965.147216,723555.315396,108677.600000,64803.155519,108676.600000,64803.155519
trace-1,uniform,bwa,0.800000,2,left,energy,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.800000,2,left,power,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.800000,2,left,runtime,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
trace-1,uniform,bwa,0.800000,2,left,runtime_ascending,0.000000,0.000000,2359965.147217,723555.315396,37094.900000,2064.748596,37093.900000,2064.748596
